scrambleMode,nodeMode,matrixMode,lastStep,matrixSize,numBytesIn,numBytesOut,Loading Data,Padding Data,Scrambling,Outputting Scrambled Data,Outputting key
scrambling,byte,hashed,Done,3480,1701,4640,1,1,157,1,9
scrambling,bit,hashed,Done,15488,1701,2584,3,1,1547,2,32
scrambling,byte,linked,Done,3481,1701,4644,0,1,41,0,9
scrambling,bit,linked,Done,16128,1701,2688,5,1,334,1,35
scrambling,byte,array,Done,3445,1701,4596,1,0,56,0,9
scrambling,bit,array,Done,15616,1701,2604,1,1,437,1,34
scrambling,byte,hashed,Done,3528,1751,4704,1,1,165,1,8
scrambling,bit,hashed,Done,16000,1751,2668,4,1,1668,2,33
scrambling,byte,linked,Done,3528,1751,4704,3,32,65,1,8
scrambling,bit,linked,Done,16256,1751,2712,2,0,333,1,36
scrambling,byte,array,Done,3520,1751,4696,1,1,46,1,9
scrambling,bit,array,Done,16000,1751,2668,2,1,461,2,35
scrambling,byte,hashed,Done,3591,1801,4788,1,2,159,1,8
scrambling,bit,hashed,Done,16512,1801,2752,4,1,1612,57,39
scrambling,byte,linked,Done,3584,1801,4780,1,0,33,1,8
scrambling,bit,linked,Done,16640,1801,2776,2,1,344,1,36
scrambling,byte,array,Done,3599,1801,4800,1,1,63,1,9
scrambling,bit,array,Done,16384,1801,2732,2,0,456,2,35
scrambling,byte,hashed,Done,3705,1851,4940,1,1,178,0,9
scrambling,bit,hashed,Done,16768,1851,2796,4,1,2085,3,35
scrambling,byte,linked,Done,3717,1851,4956,1,0,51,0,9
scrambling,bit,linked,Done,16768,1851,2796,1,1,348,1,37
scrambling,byte,array,Done,3712,1851,4952,0,1,46,0,9
scrambling,bit,array,Done,17160,1851,2860,2,1,507,2,43
scrambling,byte,hashed,Done,3782,1901,5044,1,1,175,1,9
scrambling,bit,hashed,Done,17160,1901,2860,4,2,1901,3,35
scrambling,byte,linked,Done,3782,1901,5044,0,1,41,0,9
scrambling,bit,linked,Done,17424,1901,2904,2,1,368,1,38
scrambling,byte,array,Done,3776,1901,5036,1,0,65,1,9
scrambling,bit,array,Done,17160,1901,2860,2,0,520,1,37
scrambling,byte,hashed,Done,3843,1951,5124,1,1,196,1,8
scrambling,bit,hashed,Done,18088,1951,3016,4,2,2125,3,38
scrambling,byte,linked,Done,3808,1951,5080,1,1,50,0,10
scrambling,bit,linked,Done,18360,1951,3060,2,1,421,1,41
scrambling,byte,array,Done,3819,1951,5092,1,0,53,1,9
scrambling,bit,array,Done,18360,1951,3060,2,1,552,2,41
scrambling,byte,hashed,Done,3906,2001,5208,4,1,191,1,9
scrambling,bit,hashed,Done,18088,2001,3016,4,1,2147,3,37
scrambling,byte,linked,Done,3894,2001,5192,1,1,31,0,9
scrambling,bit,linked,Done,18216,2001,3036,2,1,410,1,40
scrambling,byte,array,Done,3904,2001,5208,0,1,58,1,9
